カード名,型番,画像ファイル名,フレーバー
フメンダ＝マジェンダ,DM24RP4 66/76,054_049_01_フメンダ＝マジェンダ.jpg,エルボロム、フミビロム、アゲブロム、シンベロム。夜の四天王が生贄となったことで、魔誕の準備は整った。暗黒剣が魔法陣に最後にジャシンの心臓を配置すると、にわかに世界がひび割れはじめた！
ダンジテ・ユルサンミャク,DM24RP4 67/76,054_050_01_ダンジテ・ユルサンミャク.jpg,暗黒剣によって体内に埋め込まれていたジャシンの爪に身体を突き破られたアゲブロム・バイオレンスは、「おのれ、断じて許さん！怒ぅん!!」とわけもわからず激昂した。そして、それが最後の言葉となった。
炎怒音像アンゲロス,DM24RP4 68/76,055_001_01_炎怒音像アンゲロス.jpg,夜の四天王が彫像にされてしまったことで、神官たちもエナジーを失い、元の貧弱な姿へと戻ってしまった。
魔誕炎怒アゲバーロ,DM24RP4 69/76,055_002_01_魔誕炎怒アゲバーロ.jpg,ワルドバロムの魔誕は、夜の四天王の制御下から外れたデモンズ・レガシーたちに新たな力を与えた。その結果、バロムに近い姿のデーモン・コマンドへと進化を果たしたのだった。
ライラ・理・アイニー,DM24RP4 70/76,055_003_01_ライラ・理・アイニー.jpg,アゲブロム・バイオレンスはジャシンに向けて無数の火山を作り出して攻撃しようとする……だが力を込めた次の瞬間！体内から巨大な爪がアゲブロムの身体を突き破った！
ロウゴク童子,DM24RP4 71/76,055_004_01_ロウゴク童子.jpg,大鬼札王国では監獄は必要ない。ロウゴク童子が、囚人を牢獄ごと粉砕するからだ。
爆翠月 アサギ,DM24RP4 72/76,055_005_01_爆翠月 アサギ.jpg,まさかゴルファンタジスタ様でも勝てないなんて……もうこの世界はおしまいなの……？ — 爆翠月 アサギ
哀樹奇面グリッファ,DM24RP4 73/76,055_006_01_哀樹奇面グリッファ.jpg,硬化していく自らの身体。何かを必死に叫ぶ表情。それらを見ながらシンベロム・カタルシスの脳内に駆け巡ったのは、果てしない後悔の念だった。まだやりたいことがたくさんあった。もっと早く出会っていれば。もっと強く信じていれば……だがそれは結局、すべて己の弱さが招いた選択の結果だった。
爆翠月 コハク,DM24RP4 74/76,055_007_01_爆翠月 コハク.jpg,暗黒剣に埋め込まれていたジャシンの尾に体内から突き破られたシンベロム・カタルシスは、相方を巻き込むまいと慌てて融合を解除する。「何が起こった⁉」しかしゴルファンタジスタの問いに答える声はなかった。
地底探検モーグ,DM24RP4 75/76,055_008_01_地底探検モーグ.jpg,ついにシンベロム・カタルシスはゴルファンタジスタと融合し、その身体を癒した。その瞬間流れ込んできたのは、あまりにも強い責任感とまるで自然そのもののように広すぎる度量だった。「これが良き進化か……友よ、ありがとう」……だが突然、体内から巨大な尾が身体を突き破ってきた！
ムルク・カンキン,DM24RP4 76/76,055_009_01_ムルク・カンキン.jpg,ツォルキンを統べる存在、イミッシュ・イツァヤナ。それが作る時空の歪みに取り込まれた者は、自我を失ってしまう。その間に部下のツォルキンが心臓を食いつくすのだ。
鬼ヶ大王 ジャオウガ,DM24RP4 TR2/TR9,055_012_01_鬼ヶ大王 ジャオウガ.jpg,邪なる鬼が戻ってきた。今度こそ、すべてを奪い尽くすために。
魔令嬢バロメアレディ,DM24BD4 1/15,055_014_01_魔令嬢バロメアレディ.jpg,悪魔神は、彼女から言葉を奪った。
悪魔神バロム・ロッソ,DM24BD4 2/15,055_015_01_悪魔神バロム・ロッソ.jpg,「死神」の怒りは封じられても残り続け、新たな「死神」をうみ出し続けた。
悪魔神バロム・エンペラー,DM24BD4 3/15,055_016_01_悪魔神バロム・エンペラー.jpg,魔誕した「死神」は４柱の眷属を伴っていた。４柱にも闇の王から死神の名が与えられ、夜を支配することを命じられた。彼らは「夜の死神四天王」と呼ばれるようになった。
ドンドン吹雪くナウ,DM24BD4 8/15,055_021_01_ドンドン吹雪くナウ.jpg,最愛の相手が「死神」魔誕のための贄となることを知ったバロメアはバロストの助命を闇の王に求めた。闇の王はそれと引き換えにバロメアの声を奪った。
死神信徒バーロウ・ビリーバー,DM24BD4 9/15,055_022_01_死神信徒バーロウ・ビリーバー.jpg,最強の「死神」の魔誕を闇の王に命じられたバーロウは最高の贄を求めた。必要となったのは、最強の肉体と、最愛の相手の存在。
S・S・S,DM24BD4 10/15,055_023_01_S・S・S.jpg,裏切りの怒りこそが最強の「死神」を何度も復活させる。それは、古の伝説でも現代でも変わらない。
獅子王の遺跡,DM24BD4 11/15,055_024_01_獅子王の遺跡.jpg,「死神」魔誕のための最強の贄を求めた闇の王は、バロメアの命を狙った。バロストは最愛の相手を護るため、自ら贄となることを申し出たのだった。
地龍神の魔陣,DM24BD4 12/15,055_025_01_地龍神の魔陣.jpg,「死神」魔誕の儀式のさなかに、バロストは自分のためにバロメアが声を失ったことを知り怒りくるったが時はすでに遅かった。その怒りこそが「死神」が魔誕するための最後のピースだった。
フェアリー・ミラクル,DM24BD4 15/15,055_028_01_フェアリー・ミラクル.jpg,最強にして伝説の剣豪と呼ばれた悪魔、バロスト。彼の唯一の弱点、それは最愛の相手、バロメアであった。
ボルメテウス・モモキング,DM24BD3 6/15,055_030_01_ボルメテウス・モモキング.jpg,12の王の歴史を受け継いだモモキングは、裏の歴史を支配し、再び戻ってきたジャオウガと最終決戦を行う！
ボルシャック・モモキング・クロスNEX,DM24BD3 7/15,055_031_01_ボルシャック・モモキング・クロスNEX.jpg,超獣王来烈伝と共に来たボルシャック・ドラゴン。デュエマの歴史を守る闘いは、このボルシャックとモモキングの出会いから始まった。
メンデルスゾーン,DM24BD3 11/15,055_035_01_メンデルスゾーン.jpg,むかしむかし、あるところでモモキングはモモダチと出会い、チーム切札を結成しました。
フェアリー・ギフト,DM24BD3 13/15,055_037_01_フェアリー・ギフト.jpg,モモキングの強さの源、それは、デュエマの歴代の英雄たちの魂を受け継いでいることだ！
モモからうまれたモモキング,DM24BD3 14/15,055_038_01_モモからうまれたモモキング.jpg,鬼札覇王連合から超獣世界を守るため、モモからうまれたキングマスター、その名もモモキング!!
鬼退治の心絵,DM24BD3 15/15,055_039_01_鬼退治の心絵.jpg,獄鬼夜城に乗り込んだモモキングとモモダチは、悪い鬼を追い払い宝物を持ち帰りましたとさ。めでたしめでたし。
アルカディアス・モモキング,DM24BD3 3/15,055_041_01_アルカディアス・モモキング.jpg,聖霊王は、世界の秩序を守るためにその歴史を委ねた。
聖霊王ドリーム・アルカディアス,DM24EX2 超G2/超G9,055_045_01_聖霊王ドリーム・アルカディアス.jpg,聖霊王。その御身が放つまばゆい光は、悪しき者の妨害を許さない。
エンペラー・キリコ,DM24EX2 超G3/超G9,055_046_01_エンペラー・キリコ.jpg,エンペラー・キリコ。それはかつて神歌の力を見込まれ、オリジンの神に仕えていた巫女である。
悪魔神ドルバロム,DM24EX2 超G4/超G9,055_047_01_悪魔神ドルバロム.jpg,天界の門からフィオナの森の東方血土・賢者の門まで……ドルバロムの破壊から逃れられる場はない。
ボルメテウス・ホワイト・ドラゴン,DM24EX2 超G6/超G9,055_049_01_ボルメテウス・ホワイト・ドラゴン.jpg,伝説は、いつまでも語り継がれるから伝説なのだ。
ドンドン水撒くナウ,DM24EX2 超14/超47,056_008_01_ドンドン水撒くナウ.jpg,パンドラの姫は、新たな世界を芽生えさせるべく水を撒いた。
燃えるデット・ソード,DM24EX2 4/100,056_010_01_燃えるデット・ソード.jpg,ジョーカーズとは、超獣世界に突然現れた自由の使者である！
聖霊王ドリーム・アルカディアス,DM24EX2 6/100,056_012_01_聖霊王ドリーム・アルカディアス.jpg,アルカディアス。それは並みいる聖霊王の中でも最も尊ばれし聖なる名。その威光が弱きものを守り続ける。
悪魔神バロムハデス,DM24EX2 7/100,056_013_01_悪魔神バロムハデス.jpg,バロム。それは最初にして最強の悪魔神に冠される名。その姿を見て生きて帰れたものはいない。
ボルメテウス・ブラック・ドラゴン,DM24EX2 14/100,056_020_01_ボルメテウス・ブラック・ドラゴン.jpg,ボルメテウス。それは正義の怒りによって戦う竜に与えられた名。その怒りを買ったものは100万回焼かれても許されない。
ボルシャック・ドラゴ大王,DM24EX2 15/100,056_021_01_ボルシャック・ドラゴ大王.jpg,龍幻郷の主、ドラゴ大王。彼もまた、ボルシャックの名を引き継ぐにふさわしい英雄であった。
暴嵐竜 Susano-O-Dragon,DM24EX2 20/100,056_026_01_暴嵐竜 Susano-O-Dragon.jpg,「神歌」によって呼び出された古の竜は全部で9体。さすがの五大龍神も単体の力では勝れども数で上回られては勝敗は明らかだった。
暗黒の騎士ザガーン GR,DM24EX2 超17/超47,056_030_01_暗黒の騎士ザガーン GR.jpg,「つまらん。やつを戦場に出したら、一方的に勝つに決まっている。」 ― 覇王ブラックモナーク
キユリのASMラジオ,DM24EX2 超19/超47,056_032_01_キユリのASMラジオ.jpg,妖精たちのトークは朝まで続く。
ジョジョジョ・マキシマム,DM24EX2 24/100,056_035_01_ジョジョジョ・マキシマム.jpg,ジョリー・ザ・ジョニー。それは少年の自由への憧れが生み出した英雄のガンマンの名。その百発百中の射撃の腕は引き金を２度引かない。
ミラクル・ホーリー・スパーク,DM24EX2 26/100,056_037_01_ミラクル・ホーリー・スパーク.jpg,聖霊王の奇跡の光が、邪悪なるものすべてを封じる。
蒼狼の巫女 ツクヨミテラス,DM24EX2 27/100,056_038_01_蒼狼の巫女 ツクヨミテラス.jpg,オリジンたちは月も自分たちの領地であると主張していた。その月に自分たちの神が封じられてしまうのは皮肉な運命だった。
悪魔神バロムスポーン,DM24EX2 29/100,056_040_01_悪魔神バロムスポーン.jpg,悪魔神ドルバロムの触手から産まれた存在、バロムスポーンは、地上に降り立つと悪魔神降臨の準備のために世界を破滅させる。
ボルシャック・ドラゴン GR,DM24EX2 31/100,056_042_01_ボルシャック・ドラゴン GR.jpg,ボルシャック、それは英雄の名として語り継がれ、英雄のみが使うことを許された名。その拳には共に戦って散った友の力が宿る。
ボルメテウス・サファイア・ドラゴン,DM24EX2 33/100,056_044_01_ボルメテウス・サファイア・ドラゴン.jpg,ボルメテウスの吐く炎は、怒りの意志を受け継ぎ命を宿す。その名もミリオン・フレイム！
再興王女プリン,DM24EX2 36/100,056_047_01_再興王女プリン.jpg,最高の記憶が、再興の礎となる。
モモキング -旅丸-,DM24EX2 37/100,056_048_01_モモキング -旅丸-.jpg,モモキング。それは超獣世界の歴史を受け継ぎ、背負ったものの名。その勇気と友情の物語は鬼の侵略すら背負っていく。
蒼龍秘伝ファイナル・レボリューション,DM24EX2 38/100,056_049_01_蒼龍秘伝ファイナル・レボリューション.jpg,ドギラゴン、それはドラゴンを超えたドラゴンに与えられた名。その生涯は常に革命と共にあった。
戦闘の天才 ムロク,DM24EX2 39/100,056_050_01_戦闘の天才 ムロク.jpg,マロク姉様！ミロク姉様の気まぐれに付き合っていたらキリがないですの!!とにかく放っておいて、この戦闘の天才 ムロクに戦術の指示を出していただきたいですわ！ — 戦闘の天才 ムロク
運命の境界線,DM24EX2 40/100,057_001_01_運命の境界線.jpg,このデュエルに勝った時、望むものは全てお前のものとなろう…。だが負けた時、お前は全てを失うのだ…。
白騎士の精霊HEAVEN・キッド,DM24EX2 超22/超47,057_003_01_白騎士の精霊HEAVEN・キッド.jpg,夢を叶えるべし！ 純白の羽を旗印に、天空より光の騎士の子が舞い降りた！
ラッキー・ダーツ,DM24EX2 超23/超47,057_004_01_ラッキー・ダーツ.jpg,もっとも運任せで、もっともエキサイティングな瞬間。
ストリーミング・シェイパー,DM24EX2 超26/超47,057_007_01_ストリーミング・シェイパー.jpg,勝利は残酷な、知識の差！
堕∞魔 ヴォゲンム,DM24EX2 超28/超47,057_009_01_堕∞魔 ヴォゲンム.jpg,無の化身が無月の門を開き続ける。
単騎連射 マグナム,DM24EX2 超29/超47,057_010_01_単騎連射 マグナム.jpg,逆転を封じることもカードゲームだ！
極楽鳥,DM24EX2 超31/超47,057_012_01_極楽鳥.jpg,鳥が飛べるということを忘れてはならない。
デビル・ドレーン,DM24EX2 超32/超47,057_013_01_デビル・ドレーン.jpg,死を身近な友人とせよ。
ブレイン・スラッシュ,DM24EX2 超33/超47,057_014_01_ブレイン・スラッシュ.jpg,知識と痛みは成功への道しるべ。
「祝え！この物語の終幕を！」,DM24EX2 超34/超47,057_015_01_「祝え！この物語の終幕を！」.jpg,メテヲシャワァの襲来は、喝采をもって迎えられる。
魔弾 マッド・ゲンド・チェスター,DM24EX2 超35/超47,057_016_01_魔弾 マッド・ゲンド・チェスター.jpg,復活したキング・ロマノフは、全てのナイトをディスペクターとして統一した。
蒼狼の大王 イザナギテラス,DM24EX2 46/100,057_022_01_蒼狼の大王 イザナギテラス.jpg,蒼狼の一族、それは「神歌」を歌うエンペラー・キリコに付き従う一族。だが、その真意はまだ謎に包まれている。
インフェルノ・ポータル,DM24EX2 48/100,057_024_01_インフェルノ・ポータル.jpg,深淵への扉と煉獄への扉は、すぐ隣にある。
次元の超銀河弓 ANOTHER,DM24EX2 49/100,057_025_02_次元の超銀河弓 ANOTHER.jpg,超次元の穴をあけた超銀河剣がパンドラ・スペースに置かれるのは皮肉な運命だった。
無垢の地版,DM24EX2 53/100,057_029_01_無垢の地版.jpg,誰よりも大きな器を持った透明な精神の英雄も、タマシードに封じられ語られ続ける。
神化のカルマ シフォン,DM24EX2 55/100,057_031_01_神化のカルマ シフォン.jpg,にぃ様がこの世界の新たな神になるのです！ — 神化のカルマ シフォン
邪閃光,DM24EX2 56/100,057_032_01_邪閃光.jpg,深淵の主、ジャシン帝から発せられる禍々しき閃光。その光を目にしたものは深淵へと引きずり込まれるという。
ボルシャック・大河・ルピア,DM24EX2 58/100,057_034_01_ボルシャック・大河・ルピア.jpg,ボルシャックとルピアの歴史。それは大河のように太く激しい流れとして語られている。
超えるメラッチ,DM24EX2 59/100,057_035_01_超えるメラッチ.jpg,火の国の王であったドギラゴンは、多くのファイアー・バードに支えられて侵略者たちと戦い続けた。
晴舞龍 ズンドコ・モモキング,DM24EX2 超38/超47,057_039_01_晴舞龍 ズンドコ・モモキング.jpg,今、王の祭りが始まる。
Disコットン＆Disケラサス,DM24EX2 超40/超47,057_041_01_Disコットン＆Disケラサス.jpg,信心の心も自由の意思も等しく奪われる。
友情地龍 ルピア・ターン,DM24EX2 超41/超47,057_042_01_友情地龍 ルピア・ターン.jpg,すべての龍に音楽を。
スゴ腕プロミキサー,DM24EX2 61/100,057_044_01_スゴ腕プロミキサー.jpg,りんご娘たちの新曲のミキシングを始めなきゃ！忙しい忙しい！ ー スゴ腕プロミキサー
水晶のセレナーデ,DM24EX2 62/100,057_045_01_水晶のセレナーデ.jpg,クリスタ「ウィン様……残念ですが、ここでお別れです」 ウィン「待ってくれ、クリスタ！」
神聖の精霊アルカ・キッド,DM24EX2 64/100,057_047_01_神聖の精霊アルカ・キッド.jpg,聖なる閃光、それはアルカディアスが降臨するサイン。
邪霊神官バーロウ,DM24EX2 65/100,057_048_01_邪霊神官バーロウ.jpg,最強の悪魔神、バロム様を崇めるのじゃ!! ー 邪霊神官バーロウ
記憶の炎 ボルメテウス・エナジー / 魂と怒りの盾,DM24EX2 72/100,058_005_01_記憶の炎 ボルメテウス・エナジー _ 魂と怒りの盾.jpg,その怒りは記憶に残り続ける。
失われた世界,DM24EX2 74/100,058_007_01_失われた世界.jpg,世界が失われようとしたその時、深淵の主が舞い降りる。 — いにしえより伝わりし深淵の伝説
希望と勝利の伝説,DM24EX2 75/100,058_008_01_希望と勝利の伝説.jpg,希望と勝利が炎となって吹き荒れる時、伝説の竜が舞い降りる。 ー いにしえより伝わりし竜族の伝説
月の死神 ベル・ヘル・デ・スカル,DM24EX2 77/100,058_010_01_月の死神 ベル・ヘル・デ・スカル.jpg,かつて存在したと言われるデーモン・コマンドの王。彼は月から襲来したとも伝えられている。
ジョギラスタ・ガンランス,DM24EX2 80/100,058_013_01_ジョギラスタ・ガンランス.jpg,自由を求め放浪の旅を続けるジョリー・ザ・ジョニー。だが、彼は誰よりもヒーローだ。ピンチの時には必ず助けに戻ってきてくれる。
AQvibrato,DM24EX2 超43/超47,058_014_01_AQvibrato.jpg,リキッド・ピープルはハイクを自在に操る。彼らにとって、句は鎧であり剣である。
ゼロの裏技ニヤリー・ゲット,DM24EX2 超44/超47,058_015_01_ゼロの裏技ニヤリー・ゲット.jpg,裏技でジョーカーズをゲットニャリー！ ―ニヤリー
♪なぜ離れ どこへ行くのか 君は今,DM24EX2 超45/超47,058_016_01_♪なぜ離れ どこへ行くのか 君は今.jpg,別れを詠ったそのハイクが、二人を再び出会わせる。
灼熱の演奏 テスタ・ロッサ,DM24EX2 超46/超47,058_017_01_灼熱の演奏 テスタ・ロッサ.jpg,最高の友の記憶は蘇り続ける。
The Yeahラー漢,DM24EX2 81/100,058_019_01_The Yeahラー漢.jpg,Yeah!!一口目はまずスープから。麺から食べるヤツは金はいらねぇ、出て行ってくれ。うちは濃厚スープに命をかけてんだ。まずはスープ、そして麺と無料ライス、順番を間違えるな。そして、うまけりゃサケビな、Yeah!! ー The Yeahラー漢
黙示賢者ソルハバキ,DM24EX2 82/100,058_020_01_黙示賢者ソルハバキ.jpg,エンペラー・キリコ。それは、異世界にアクセスできる「神歌」を歌うものに受け継がれる名。その歌は異世界の竜であろうと、異端の神であろうと世界に呼び寄せることができる。
希望の親衛隊ラプソディ,DM24EX2 83/100,058_021_01_希望の親衛隊ラプソディ.jpg,マザーとファーザーによって残されたパンドラの記憶には、五人の希望の親衛隊の記憶も残されていた。ならば、弟である鬼丸と修羅丸の記憶も残っているのでは、と期待したプリンだったが……奇跡の双子が生まれた直後にパンドラ・スペースは崩壊してしまった故に、パンドラの記憶には二人のことは残されていなかった。プリンは知っていた……パンドラの完全な復活には双子の記憶とパンドラ・スペースの本来の位置、そしてアンノウンたちの正体の三つの情報が不可欠であることを。
カーネンの心絵,DM24EX2 84/100,058_022_01_カーネンの心絵.jpg,一王二命三眼槍によってジョーカーズの星は破壊され、ジョーカーズたちは思い出のスケッチブックに封じられてしまった。
トロン,DM24EX2 87/100,058_025_01_トロン.jpg,プリンにパンドラ・スペース復興に協力するように頼まれたミロク。彼女はかつてパンドラ・スペースを自身の魔導具置き場に使用していたことには負い目など一切感じていなかったが、それはそれとして「記憶」や「想い」から世界を具現化するのは面白そうなので協力することとした。
トムのゼリー,DM24EX2 88/100,058_026_01_トムのゼリー.jpg,ねぇねぇ、ところでトムって一体誰なのさ？まさかスッポンジトムのことじゃないよね？ ー トムのゼリー
パンドラの記憶,DM24EX2 89/100,058_027_01_パンドラの記憶.jpg,マザーとファーザーによって残されたパンドラの記憶によって、パンドラ・スペースは再興するかと思われた。だが、超次元のパンドラ・スペースの正確な位置が記憶されていなかった。プリンは、パンドラ・スペースの位置を聞くべく、仙界一の天才、ミロクの元を訪れた。
カタナ＝タッガーナ,DM24EX2 90/100,058_028_01_カタナ＝タッガーナ.jpg,タッガーナとマッガーナのコンビ。彼らは深淵において東方血土の影響を受けていた。
ボルシャック・ルピア,DM24EX2 91/100,058_029_01_ボルシャック・ルピア.jpg,ボルシャックの一族と強い絆を持ったルピアたちは、ボルシャックの名を名乗ることを許される。
コッコ・ルピア GS,DM24EX2 92/100,058_030_01_コッコ・ルピア GS.jpg,ルピア。それは竜と共に歩み、竜と共に闘った、竜の最大の友に与えられる名。
無頼妖精ワイルド・リリィ,DM24EX2 93/100,058_031_01_無頼妖精ワイルド・リリィ.jpg,あはははは！全て淘汰されるのだわ！ — 無頼妖精ワイルド・リリィ
ラマト・カーン,DM24EX2 94/100,058_032_01_ラマト・カーン.jpg,ツォルキン。それは淡々と時を刻み続けるだけの謎の存在。彼らが時を刻み切った時、世界は狂気に包まれると言われている。
闇鎧亜ジャック・アルカディアス,DM24EX2 97/100,058_035_01_闇鎧亜ジャック・アルカディアス.jpg,悪魔神の復活に呼応するかのように、アルカディアス王家が動き出した。
ダーク・ソング,DM24EX2 98/100,058_036_01_ダーク・ソング.jpg,♪次の秋は、もっと良い秋になりますように！ — 悪魔妖精ベラドンナ
ボルシャック・栄光・ルピア,DM24EX2 99/100,058_037_01_ボルシャック・栄光・ルピア.jpg,ボルシャックとルピアの栄光の絆。それは何年たとうと変わらぬ絆。
キタカゼマンA,DM24EX2 100/100,058_038_01_キタカゼマンA.jpg,チーム切札のキングとなったモモキングは、ジャオウガ率いる鬼札王国と熾烈な戦いを続けた。
ジョリー・ザ・ジョニー Joe,DM24EX2 超3/超47,059_004_01_ジョリー・ザ・ジョニー Joe.jpg,自由の心が新たなヒーローを産んだ。
「奇妙」の頂天 クリス=バアル,DM24SP2 TD2/TD5,059_009_01_「奇妙」の頂天 クリス=バアル.jpg,私はもうあなたの言いなりにはなりません！ — クリスタ
「奇妙」の頂天 クリス=バアル,DM24SP2 2/13,059_011_01_「奇妙」の頂天 クリス=バアル.jpg,ゼニスの力、思い知るがいい。 — クリスタ
「心」の頂天 プロフェシー,DM24SP2 4/13,059_013_01_「心」の頂天 プロフェシー.jpg,ウィンたちが暮らす世界の裏側には、クリーチャーが跋扈する荒廃したもう一つの世界が存在していた……。
悟りのクリス アラヤシキ,DM24SP2 TD3/TD5,059_014_01_悟りのクリス アラヤシキ.jpg,……仰せのままに。 — クリスタ
「これは命懸けのデュエルなのです」,DM24SP2 TD4/TD5,059_015_01_「これは命懸けのデュエルなのです」.jpg,なんで……なんでアンタがウィンの好きなものを知ってんの⁉ — ニイカ ウィン様のことなら私はすべて知っています。 — クリスタ
悟りのクリス アラヤシキ,DM24SP2 6/13,059_017_01_悟りのクリス アラヤシキ.jpg,クリスタはウィンとともに過ごした日々の思い出を語り、記憶を刺激する。だがそれでも過去を取り戻す気配のないウィンを見て、クリスタは密かに決意を固めるのだった……。
「これは命懸けのデュエルなのです」,DM24SP2 9/13,059_020_01_「これは命懸けのデュエルなのです」.jpg,クリスタとの戦いで、ウィンが召喚したジャシンがクリス=タブラ=ラーサと激突する！命懸けのデュエルの結末に待つものは、はたして……？
水晶設計図,DM24SP2 TD5/TD5,059_021_01_水晶設計図.jpg,ウィン様。何があっても、私はあなたの味方です。それだけはどうか、忘れないでください。 — クリスタ
水晶設計図,DM24SP2 10/13,059_022_01_水晶設計図.jpg,もうウィン様に記憶を取り戻していただくしか、方法はないのです。 — クリスタ
奪取のクリス アラカン,DM24SP2 11/13,059_023_01_奪取のクリス アラカン.jpg,助けを求めるメッセージを見て、もう一つの世界に入るウィン。そこには水晶で固められたニイカと、蠅のクリーチャーを従えるクリスタの姿があった……。
ピクシー・ライフ,DM24SP2 12/13,059_024_01_ピクシー・ライフ.jpg,記憶をなくしたウィンの許嫁を名乗り、失われた過去も知っているという謎の少女、クリスタ。彼女との出会いで、ウィンの運命がまた動き出す……。
「この私のために華を咲かすのだ！」,DM24SP2 13/13,059_025_01_「この私のために華を咲かすのだ！」.jpg,約束したあの場所へ……帰りましょう。 — クリスタ
幽幻人形キヨ＆ヨン＆シー,DM24RP3 ㊙7/㊙24,059_033_01_幽幻人形キヨ＆ヨン＆シー.jpg,一人だけでもかしましい。三人寄ると奪われる魂。
疾駆竜 ボルシャック・アッシュ・レイダー,DM24RP3 ㊙9/㊙24,059_035_01_疾駆竜 ボルシャック・アッシュ・レイダー.jpg,暴竜爵の灰を浴びて、ボルシャック・レイダーも燃え尽きようと心に決めた。
ヨビニオン・マルル,DM24RP3 ㊙11/㊙24,059_037_01_ヨビニオン・マルル.jpg,再会は、望んだ形になるとは限らない。
ドンジャングルS７,DM24RP3 TR5/TR9,059_043_01_ドンジャングルS７.jpg,キミはセブンシリーズ、ななつ全部言えるかな!?
森夢龍 フィオナ・フォレスト,DM24RP3 TR6/TR9,059_044_01_森夢龍 フィオナ・フォレスト.jpg,かつてはフィオナの森にドラリンしたが、今はサイバーロードの要塞がお気に入りだという。
疾駆竜 ボルシャック・アッシュ・レイダー,DM24RP3 S8/S11,060_006_01_疾駆竜 ボルシャック・アッシュ・レイダー.jpg,ボルシャックの仇は、ボルシャックが討つ。
ヨビニオン・マルル,DM24RP3 S10/S11,060_008_01_ヨビニオン・マルル.jpg,会いたかったわ……さようなら。— ヨビニオン・マルル
正義の逆転撃,DM24RP3 ㊙13/㊙24,060_010_01_正義の逆転撃.jpg,その理想が、正義となる。
自由の逆転撃,DM24RP3 ㊙14/㊙24,060_011_01_自由の逆転撃.jpg,その一発が、自由となる。
深淵の逆転撃,DM24RP3 ㊙15/㊙24,060_012_01_深淵の逆転撃.jpg,その存在が、深淵となる。
伝説の逆転撃,DM24RP3 ㊙16/㊙24,060_013_01_伝説の逆転撃.jpg,その革命が、伝説となる。
情熱の逆転撃,DM24RP3 ㊙17/㊙24,060_014_01_情熱の逆転撃.jpg,その歴史が、情熱となる。
ブレードグレンオー・マックス,DM24RP3 TR8/TR9,060_015_01_ブレードグレンオー・マックス.jpg,どんな大型獣も従うほどにカリスマがマックス！
プリプリズン,DM24RP3 TR9/TR9,060_016_01_プリプリズン.jpg,衆人環視の中で囚人を監視する姿がとてもプリティーなプリズンだ。
正義の逆転撃,DM24RP3 1/76,060_017_01_正義の逆転撃.jpg,正義の一撃が星を砕く。
自由の逆転撃,DM24RP3 3/76,060_019_01_自由の逆転撃.jpg,自由の一撃が星を砕く。
深淵の逆転撃,DM24RP3 5/76,060_021_01_深淵の逆転撃.jpg,深淵の一撃が星を砕く。
ヨビニオン・フレイムバーン,DM24RP3 6/76,060_022_01_ヨビニオン・フレイムバーン.jpg,新たな力を得て、熱き闘志が再び燃え上がる。
伝説の逆転撃,DM24RP3 7/76,060_023_01_伝説の逆転撃.jpg,伝説の一撃が星を砕く。
情熱の逆転撃,DM24RP3 9/76,060_025_01_情熱の逆転撃.jpg,情熱の一撃が星を砕く。
プリンセス・パーティ ～シラハの絆～,DM24RP3 10/76,060_026_01_プリンセス・パーティ ～シラハの絆～.jpg,花嫁争いの中でも三人はお茶会を開き、話に花を咲かせた。
邪心臓の魔法陣,DM24RP3 11/76,060_027_01_邪心臓の魔法陣.jpg,ジャシンの心臓を貫いた暗黒剣は夜の四天王を切り裂き、新たな力を与えた。
ベイビーポンの助,DM24RP3 ㊙18/㊙24,060_028_01_ベイビーポンの助.jpg,ベイビーよのう～。 — ベイビーポンの助
メトロ＝トロノーム,DM24RP3 ㊙19/㊙24,060_029_01_メトロ＝トロノーム.jpg,刻むのは、標的の命のリズム。
ロック・ポロン,DM24RP3 ㊙20/㊙24,060_030_01_ロック・ポロン.jpg,戦場だって、学び場だ。
邪侵入,DM24RP3 TD2/TD3,060_031_01_邪侵入.jpg,よぉ、ウィン。— 邪神アビスベル
ジャッジCREWニー,DM24RP3 T1/T12,060_032_01_ジャッジCREWニー.jpg,ジョー外乱闘は、絶対に許さない。
破界秘伝ナッシング・ゼロ,DM24RP3 T2/T12,060_033_01_破界秘伝ナッシング・ゼロ.jpg,ジョー識を超えた力は、ゼロから生まれる。
ベイビーポンの助,DM24RP3 12/76,060_037_01_ベイビーポンの助.jpg,ベイビーだからって甘く見ていると退ジョーさせられる。
逆転の使徒エストール,DM24RP3 13/76,060_038_01_逆転の使徒エストール.jpg,忍耐こそ逆転の本質。
光神龍アヴァタール,DM24RP3 14/76,060_039_01_光神龍アヴァタール.jpg,火文明の住人の力を借り再び無数の天使を降臨させるゴルドラン・ゴルギーニに対し、エルボロム・ハッピーは吸い上げすぎて月の軍勢が全員倒れるほどのエナジーを集めて、巨大な砲身から打ち出す構えを見せるのだった。
ゴールド・フラウム,DM24RP3 15/76,060_040_01_ゴールド・フラウム.jpg,ゴルギーニ・タウンの住人の祈りが力に変わった！何という奇跡!! — ゴールド・フラウム
アクア・ギャクテンポインター,DM24RP3 16/76,060_041_01_アクア・ギャクテンポインター.jpg,流転こそ逆転の本質。
